name,artist,popularity,id,release_date,track_number,explicit,duration_ms,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Natural,Imagine Dragons,80,2FY7b99s15jUprqC0M5NCT,2018-11-09,1,False,189466,89,0.704,0.611,2.0,-6.112,1.0,0.041,0.217,0.0,0.0812,0.22,99.994
White Iverson,Post Malone,75,6eT7xZZlB2mwyzJ2sUKG6w,2016-12-09,6,True,256532,92,0.675,0.561,7.0,-7.678,1.0,0.0352,0.233,0.0,0.0793,0.309,130.098
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",75,5bcTCxgc7xVfSaMV3RuVke,2017-06-30,8,True,223413,87,0.893,0.745,11.0,-3.105,0.0,0.0571,0.0642,0.0,0.0943,0.872,101.018
Whatever It Takes,Imagine Dragons,0,0yt31hMKZMiyIEfiBiLD2N,2017-06-23,3,False,201240,89,0.675,0.674,1.0,-4.984,1.0,0.0305,0.0409,0.0,0.128,0.569,134.941
Night Changes,One Direction,87,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,7,False,226600,85,0.672,0.52,8.0,-7.747,1.0,0.0353,0.859,0.0,0.115,0.37,120.001
Shake It Off,Taylor Swift,69,5xTtaWoae3wi06K5WfVUUH,2014-10-27,6,False,219200,100,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",82,3k3NWokhRRkEPhCzPmV8TW,2022-05-06,14,False,258298,95,0.647,0.686,3.0,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",59,7mkT9kS25nUIoNkm02Ww0n,2019-01-25,6,False,211760,72,0.654,0.798,0.0,-4.084,1.0,0.0451,0.188,0.0,0.15,0.574,92.207
How to Save a Life,The Fray,79,5fVZC9GiM4e8vu99W0Xf6J,2005-09-13,3,False,262533,72,0.64,0.743,10.0,-4.08,1.0,0.0379,0.269,0.0,0.101,0.361,122.035
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",70,5Gu0PDLN4YJeW75PpBSg9p,2017-09-08,1,False,174800,68,0.664,0.708,8.0,-4.154,1.0,0.0474,0.0337,0.0,0.0841,0.742,103.07
